user,metric,n,total_commits,active_days,rho,p,q_significant
docxology,ap,13043,2976.0,300,0.0737360156973797,3.404927478658969e-17,True
AiwonA1,ap,13043,1020.0,79,0.04344543816473367,6.919991955480328e-07,True
antirez,ap,13043,4106.0,948,-0.0016097857398870957,0.8541471221163897,False
karpathy,ap,13043,4121.0,824,-0.0034851488127529686,0.6906391732170557,False
alec-tschantz,ap,13043,1040.0,209,-0.00472454623538169,0.589526300770016,False
soumith,ap,13043,1607.0,510,-0.009566937898761303,0.27460392103608267,False
fchollet,ap,13043,216.0,114,-0.023763281254024556,0.0066469880786759914,True
4dsolutions,ap,13043,3079.0,1089,-0.027732649982337258,0.0015373488477185915,True
bordaigorl,ap,13043,652.0,316,-0.03501667561874031,6.335421428881414e-05,True
conorheins,ap,13043,503.0,101,-0.03753009247407372,1.8089091152089006e-05,True
gvanrossum,ap,13043,520.0,220,-0.05055288552241357,7.623397903966995e-09,True
BerenMillidge,ap,13043,2600.0,581,-0.07078598909796376,5.794569681068615e-16,True
docxology,dst,13000,2976.0,300,0.06457712944804705,1.7074259529405754e-13,True
AiwonA1,dst,13000,1020.0,79,0.03814314829087552,1.3604271185394113e-05,True
karpathy,dst,13000,4121.0,824,0.016748227077958974,0.056192210340430336,True
4dsolutions,dst,13000,3079.0,1089,-0.00031147986230021184,0.9716724710718531,False
alec-tschantz,dst,13000,1040.0,209,-0.0007107991350859896,0.9354134915017009,False
antirez,dst,13000,4106.0,948,-0.0016655583304176875,0.8493994516250447,False
soumith,dst,13000,1607.0,510,-0.003828263392842423,0.6625111309911862,False
fchollet,dst,13000,216.0,114,-0.011491685066492202,0.1901380087833994,False
conorheins,dst,13000,503.0,101,-0.022332030606839703,0.010886660981692085,True
bordaigorl,dst,13000,652.0,316,-0.024552752797905926,0.005116638581041818,True
gvanrossum,dst,13000,520.0,220,-0.042950496226450495,9.637483748551684e-07,True
BerenMillidge,dst,13000,2600.0,581,-0.04960376460323146,1.5257825635537003e-08,True
karpathy,f107,13020,4121.0,824,0.13153847977822716,2.426124952555657e-51,True
docxology,f107,13020,2976.0,300,0.124739314992061,2.604396727799248e-46,True
AiwonA1,f107,13020,1020.0,79,0.09612393995118373,4.145666000383305e-28,True
antirez,f107,13020,4106.0,948,0.0918504787891853,8.473327704356614e-26,True
soumith,f107,13020,1607.0,510,0.035754464132881775,4.490341240166142e-05,True
4dsolutions,f107,13020,3079.0,1089,0.020242980809622207,0.020896761164085297,True
alec-tschantz,f107,13020,1040.0,209,0.0030261537689881186,0.7298932297149426,False
bordaigorl,f107,13020,652.0,316,-0.0321308203596955,0.00024551944486138946,True
fchollet,f107,13020,216.0,114,-0.035864901951722934,4.252838465910184e-05,True
conorheins,f107,13020,503.0,101,-0.06676792849093567,2.4149744145539408e-14,True
gvanrossum,f107,13020,520.0,220,-0.06687306604230417,2.1996519908492504e-14,True
BerenMillidge,f107,13020,2600.0,581,-0.13147634686202486,2.704737607108274e-51,True
karpathy,ssn,13019,4121.0,824,0.1013544330782119,4.452173848426856e-31,True
docxology,ssn,13019,2976.0,300,0.10083469334795243,8.930494428815658e-31,True
AiwonA1,ssn,13019,1020.0,79,0.08043467200312164,3.8676388929425075e-20,True
antirez,ssn,13019,4106.0,948,0.06179411877180746,1.7034673317696553e-12,True
soumith,ssn,13019,1607.0,510,0.01707040981123444,0.05145052812838582,True
alec-tschantz,ssn,13019,1040.0,209,-0.0044319623616281036,0.6131062198948157,False
4dsolutions,ssn,13019,3079.0,1089,-0.009678189444822023,0.2695023562322536,False
fchollet,ssn,13019,216.0,114,-0.040156633844080095,4.576639779394246e-06,True
bordaigorl,ssn,13019,652.0,316,-0.04485487147149279,3.054325770091426e-07,True
conorheins,ssn,13019,503.0,101,-0.06899135817919806,3.257965413491873e-15,True
gvanrossum,ssn,13019,520.0,220,-0.07807345384358431,4.620569809394054e-19,True
BerenMillidge,ssn,13019,2600.0,581,-0.13919450359633165,2.4893534019051288e-57,True
