user,metric,n,total_commits,active_days,rho,p,q_significant
BerenMillidge,ssn,13019,2600.0,581,-0.13919450359633165,2.4893534019051288e-57,True
karpathy,f107,13020,4121.0,824,0.13153847977822716,2.426124952555657e-51,True
BerenMillidge,f107,13020,2600.0,581,-0.13147634686202486,2.704737607108274e-51,True
docxology,f107,13020,2976.0,300,0.124739314992061,2.604396727799248e-46,True
karpathy,ssn,13019,4121.0,824,0.1013544330782119,4.452173848426856e-31,True
docxology,ssn,13019,2976.0,300,0.10083469334795243,8.930494428815658e-31,True
AiwonA1,f107,13020,1020.0,79,0.09612393995118373,4.145666000383305e-28,True
antirez,f107,13020,4106.0,948,0.0918504787891853,8.473327704356614e-26,True
AiwonA1,ssn,13019,1020.0,79,0.08043467200312164,3.8676388929425075e-20,True
gvanrossum,ssn,13019,520.0,220,-0.07807345384358431,4.620569809394054e-19,True
