date,commits
2014-01-05,3
2014-01-06,3
2014-01-07,7
2014-01-09,3
2014-01-10,2
2014-02-22,1
2014-02-23,1
2014-03-29,5
2014-03-30,2
2014-03-31,1
2014-04-01,1
2014-04-10,1
2014-04-13,2
2014-04-26,4
2014-05-16,1
2014-06-28,1
2014-06-30,1
2014-08-31,3
2014-09-01,4
2014-09-16,6
2014-09-24,2
2014-10-28,1
2014-10-29,2
2014-11-07,2
2014-11-30,1
2014-12-02,1
2015-02-09,2
2015-05-07,9
2015-06-01,1
2015-06-02,1
2015-06-20,2
2015-06-21,1
2015-07-09,2
2015-07-19,1
2015-07-26,1
2015-07-28,1
2015-08-01,1
2015-08-24,2
2015-08-25,1
2016-03-13,1
2016-11-23,1
2016-11-25,1
