date,commits
2012-08-23,1
2012-08-24,2
2013-09-20,1
2014-03-24,1
2014-05-13,1
2014-06-11,1
2014-06-25,3
2014-06-26,2
2014-06-27,1
2014-07-02,1
2014-07-15,4
2014-07-17,2
2014-07-18,7
2014-07-22,1
2014-09-22,1
2014-10-06,1
2014-10-15,1
2014-11-04,1
2014-11-06,2
2014-11-11,2
2014-11-13,1
2014-11-18,2
2014-11-25,2
2014-11-27,1
2014-12-21,1
2015-01-05,1
2015-01-06,1
2015-01-07,1
2015-01-16,1
2015-01-19,7
2015-01-21,1
2015-01-24,2
2015-02-05,1
2015-02-12,1
2015-02-18,1
2015-02-27,2
2015-03-04,1
2015-03-06,1
2015-03-13,1
2015-04-05,1
2015-04-07,2
