date,commits
2012-01-25,1
2012-01-27,1
2012-02-01,1
2012-03-01,1
2012-08-09,1
2012-08-13,1
2012-08-15,2
2012-08-23,1
2012-08-24,2
2012-09-06,1
2012-09-12,1
2012-10-20,3
2012-10-23,1
2012-10-25,1
2012-10-26,1
2013-03-20,2
2013-03-22,2
2013-04-11,2
2013-06-08,1
2013-06-10,3
2013-06-11,1
2013-06-18,1
2013-07-01,1
2013-07-02,1
2013-09-20,1
2013-09-24,1
2013-11-06,2
2013-11-27,1
2014-02-14,2
2014-02-27,1
2014-03-24,1
2014-03-26,1
2014-04-01,2
2014-04-04,1
2014-04-10,1
2014-04-14,2
2014-05-12,5
2014-05-13,2
2014-05-15,1
2014-06-05,1
2014-06-11,8
2014-06-25,6
2014-06-26,3
2014-06-27,2
2014-07-02,2
2014-07-15,8
2014-07-16,2
2014-07-17,7
2014-07-18,10
2014-07-19,2
2014-07-20,3
2014-07-21,4
2014-07-22,6
2014-08-01,1
2014-09-22,1
2014-10-06,2
2014-10-15,1
2014-11-04,1
2014-11-06,2
2014-11-11,4
2014-11-13,2
2014-11-18,4
2014-11-21,1
2014-11-25,3
2014-11-27,3
2014-12-03,1
2014-12-17,1
2014-12-21,1
2015-01-02,1
2015-01-05,2
2015-01-06,1
2015-01-07,2
2015-01-14,1
2015-01-15,1
2015-01-16,3
2015-01-19,7
2015-01-21,1
2015-01-24,2
2015-02-05,2
2015-02-12,1
2015-02-18,2
2015-02-19,1
2015-02-27,2
2015-03-04,2
2015-03-06,2
2015-03-10,1
2015-03-13,2
2015-03-23,1
2015-04-03,1
2015-04-05,1
2015-04-07,4
2015-04-10,2
2015-04-12,1
2015-04-15,1
2015-04-16,1
2015-04-20,2
2015-04-29,1
2015-05-05,1
2015-05-06,1
2015-05-11,1
2015-05-13,1
2015-05-17,2
2015-05-28,1
2015-06-12,2
