date,commits
2015-03-06,1
2015-03-07,3
2015-03-10,5
2015-03-13,1
2015-03-14,1
2015-04-26,1
2015-05-04,2
2015-07-14,2
2015-08-06,2
2015-09-04,3
2015-09-24,1
2015-10-23,5
2015-10-27,4
2015-10-28,1
2015-10-29,1
2015-11-05,6
2015-11-06,2
2015-11-13,3
2015-11-27,3
2015-11-30,5
2015-12-01,1
2015-12-17,1
2015-12-29,1
2016-01-11,1
2016-01-13,2
2016-01-20,1
2016-01-22,1
2016-01-23,1
2016-01-26,1
2016-01-27,2
2016-02-02,2
2016-02-07,1
2016-02-08,1
2016-02-09,1
2016-02-10,2
2016-02-12,3
2016-02-16,2
2016-02-19,2
2016-02-25,4
2016-02-28,2
2016-04-21,1
2016-04-28,2
2016-07-27,2
2016-08-16,2
2016-08-17,2
2016-11-01,2
2017-01-04,2
2017-02-22,2
