date,commits
2013-02-25,1
2013-02-27,2
2013-03-06,1
2013-04-23,1
2013-05-15,1
2013-05-17,1
2013-06-03,3
2013-10-25,1
2013-10-27,1
2013-11-12,7
2013-12-12,2
2013-12-13,3
2014-02-26,1
2014-02-28,1
2014-04-18,3
2014-05-03,2
2014-05-27,1
2015-01-13,1
2015-01-14,2
2015-01-15,3
2015-01-16,1
2015-01-20,2
2015-01-21,1
2015-02-17,3
2016-01-09,4
2016-01-29,2
2016-01-30,1
2016-02-12,1
2016-02-13,4
2016-02-14,1
2016-02-15,10
2016-02-26,4
2016-02-28,3
2016-03-02,1
2016-03-07,3
2016-03-08,8
2016-03-09,2
2016-03-25,3
2016-03-28,1
2016-03-29,1
2016-04-01,1
2016-04-11,1
2016-04-13,7
2016-04-16,4
2016-04-18,1
2016-04-22,1
2016-04-28,1
2016-05-06,2
2016-05-13,1
2016-05-14,1
2016-05-19,3
2016-05-23,2
2016-05-24,1
2016-06-14,2
2016-11-11,1
2016-11-19,1
2016-11-23,1
2016-11-29,2
2016-11-30,2
2016-12-01,1
2016-12-02,1
2017-01-17,3
2017-01-18,3
2017-01-19,3
2017-01-20,1
2017-01-24,1
2017-01-25,3
