date,commits
2005-05-31,3
2005-09-30,5
2005-10-01,15
2005-10-02,1
2005-10-03,1
2005-10-10,1
2005-11-17,1
2006-11-19,3
2008-06-07,1
2009-07-15,2
2010-01-30,1
2010-02-16,2
2010-02-26,2
2010-02-27,3
2010-04-17,2
2010-06-01,1
2010-06-03,1
2010-06-11,1
2010-06-26,1
2010-06-28,1
2010-06-29,1
2010-06-30,1
2010-07-02,1
2010-07-10,1
2010-07-11,1
2010-08-01,1
2010-08-02,1
2010-08-04,1
2010-08-09,1
2010-08-13,1
2010-08-15,1
2010-08-19,1
2010-08-21,1
2010-08-25,1
2010-08-26,1
2010-08-28,1
2010-08-29,6
2010-08-30,3
2010-09-13,1
2010-10-21,1
2010-10-31,1
2010-11-02,2
2010-11-03,1
2010-11-06,1
2010-11-14,1
2010-11-15,2
2010-11-18,1
2010-11-23,1
2010-11-28,3
2010-11-29,2
2010-12-04,1
2010-12-05,1
2010-12-16,2
2011-04-23,1
2011-08-21,1
2011-08-22,1
2011-08-25,3
2012-05-26,1
2012-07-10,6
2012-07-11,9
2012-07-15,1
2012-08-15,1
2012-09-25,1
2013-02-22,2
2014-12-08,1
2016-10-02,2
2017-03-18,1
2018-01-17,1
2018-07-19,3
2021-03-30,1
